gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,NumServices,AutoPaymentFlag,PremiumCustomerFlag,TotalCharges_log,CustomerLifetimeCategory_Loyal,CustomerLifetimeCategory_Medium,CustomerLifetimeCategory_New,MonthlyChargeCategory_High,MonthlyChargeCategory_Low,MonthlyChargeCategory_Medium,TenureGroup_Growing Customer,TenureGroup_Long-term Customer,TenureGroup_New Customer,TenureGroup_Premium Customer,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes
1,0,1,1,0.18055555555555555,1,0,1,-0.4922805219681379,0.0676411661753869,0,45.18846153846154,2,0,0,6.377491961323671,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
1,0,0,0,0.2222222222222222,1,0,0,-1.5225946620711341,0.03762896094325719,0,20.425,1,1,0,5.792403666309729,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,1,0,0.8055555555555555,1,2,0,1.182810854199314,0.6541428703021372,0,97.95,5,1,1,8.645076161696084,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0.6805555555555555,1,2,1,1.2941512532104444,0.5798982129697864,1,102.78163265306122,6,1,1,8.524625503233533,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
1,0,0,0,0.3472222222222222,1,0,1,1.3539759452164248,0.3092817336035373,0,107.44200000000001,6,0,1,7.8961992165555,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,0,1,1,0.9583333333333333,1,2,0,1.611554480242174,0.9090767778187179,0,114.42246376811593,8,1,1,8.974130577893364,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,0.7222222222222222,1,0,0,-1.4660935640654862,0.11778624723655123,0,19.672115384615385,1,0,0,6.931422976282321,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,1,0.986111111111111,1,2,0,1.393859073220412,0.8500195744288874,0,103.97535211267606,6,1,1,8.906969200059761,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0.1388888888888889,1,0,0,-0.31779183695069496,0.06083617354458365,1,52.835,3,1,0,6.271649838789389,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0.29166666666666663,1,0,1,0.8404806721650927,0.21450119749447313,0,88.70952380952382,4,0,1,7.530426345737758,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
1,1,0,0,0.013888888888888888,0,1,1,-0.8346107040023594,0.004565447678703022,1,39.65,2,0,0,3.7049988359938197,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,1,0,0.16666666666666666,1,0,0,-1.4943441130683104,0.0232878131908622,0,16.854166666666668,1,1,0,5.31443674842792,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0.013888888888888888,1,0,0,-1.4827115340671475,0.002320145541635962,1,20.15,1,0,0,3.0516399054922867,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0.8055555555555555,1,2,1,-0.1615829189350795,0.4035901805453206,0,60.432758620689654,4,1,0,8.16225958760722,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
1,0,1,1,0.6805555555555555,1,0,0,-0.17155370093607614,0.3420113301400148,0,60.61836734693878,4,1,0,7.996754846467186,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0.41666666666666663,1,0,1,-0.31446824295036285,0.1762389462048637,0,51.019999999999996,3,1,0,7.3340682196031395,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
1,0,1,1,0.6527777777777778,1,2,1,1.1495749141959914,0.5468346997052321,1,101.04574468085106,5,0,1,8.46593147547745,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
1,0,1,1,0.013888888888888888,0,1,0,-1.1486903370337564,0.0034773397199705236,1,30.2,1,0,0,3.4404180948154366,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
1,0,1,0,1.0,1,2,1,0.8471278601657574,0.7334020357406044,0,88.46458333333334,8,1,1,8.759425389713137,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0.2361111111111111,1,0,1,-0.0020504069191315333,0.1258635777450258,1,64.3,3,0,0,6.9976873864827445,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
0,1,1,0,0.986111111111111,1,2,1,1.0498670941860242,0.7791716562269714,0,95.30915492957746,6,1,1,8.819953513551914,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,1,1,0,0.027777777777777776,1,0,1,1.0216165451832002,0.02091585298452469,0,90.825,4,1,1,5.207571753241291,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
0,0,1,1,0.375,1,0,0,0.046141706085686136,0.21583110722181287,0,69.42407407407407,5,0,1,7.536603909609118,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0.013888888888888888,1,0,0,-1.481049737066981,0.0023259027266028004,0,20.2,1,1,0,3.054001181677967,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,1,0,0,0.013888888888888888,1,0,0,-0.6484894399837535,0.005210252394988947,0,45.25,1,1,0,3.834061463958434,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,1.0,1,2,0,1.1678546811978192,0.8349875644804717,0,100.71805555555555,6,1,1,8.88912909231302,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0.06944444444444445,1,0,1,0.16412929309748078,0.03648903831982314,1,63.379999999999995,1,0,1,5.761736867916757,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,0.6388888888888888,1,0,1,0.33363258711442517,0.4085643883566692,0,77.13695652173914,2,1,1,8.174505679927726,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0.4722222222222222,1,2,1,1.3822264942192488,0.4086737748710391,1,104.38970588235294,6,0,1,8.174773302525123,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
0,0,0,0,0.15277777777777776,1,2,1,1.099721004191008,0.1272798452468681,1,100.4909090909091,5,1,1,7.008866780350549,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,1,1,0.1388888888888889,1,0,0,-0.5055748979694671,0.05477385777450258,0,47.57,2,0,0,6.16688736221078,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,1,1,0.9722222222222222,1,2,1,0.14751132309581955,0.5610204034635226,0,69.605,5,1,1,8.491536864602452,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0.2361111111111111,1,0,0,-1.462769970065154,0.048158852247605015,0,24.602941176470587,1,0,0,6.038467400703318,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0.875,1,2,1,0.5014740841312035,0.5597653371407517,0,77.16587301587302,7,1,1,8.489297705097483,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0.18055555555555555,1,2,1,0.3801629031190768,0.11300778371407519,0,75.49615384615385,6,0,1,6.890049451863205,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0.6805555555555555,1,2,1,0.6560212051466532,0.44983189019896835,0,79.72857142857143,3,0,1,8.270704244607035,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0.027777777777777776,1,0,0,-0.5155456799704636,0.011168938835666914,0,48.5,2,0,0,4.584967478670572,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0.027777777777777776,1,0,1,0.5280628361338618,0.01659796425939573,1,72.075,2,0,1,4.977767690470639,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0.7222222222222222,1,2,1,0.4981504901308714,0.48565309506263826,0,81.11153846153846,6,1,1,8.347306006402459,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,0,1,1,0.9583333333333333,1,2,1,-0.020330173920958795,0.4898328113485631,0,61.6536231884058,5,1,0,8.355873542493944,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0.5972222222222222,1,2,1,0.8471278601657574,0.4420078758290347,0,89.27325581395348,4,0,1,8.253162539295738,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0.20833333333333331,1,0,1,1.141265929195161,0.16424097273397203,1,95.09333333333333,5,1,1,7.263609886536967,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
0,1,1,0,0.3472222222222222,1,2,1,0.1574821050968162,0.201806604642594,0,70.10600000000001,5,1,1,7.4694546091209375,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0.1111111111111111,1,2,1,0.5280628361338618,0.0729205047899779,1,79.1625,3,1,1,6.4525220286398515,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,1,1,1,0.8333333333333333,1,0,1,0.33529438411459117,0.5131206245394253,0,74.27250000000001,6,1,1,8.402309698021336,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1,1,0,0,0.25,1,2,1,1.0199547481830342,0.2017950902726603,1,97.36388888888888,4,0,1,7.4693975835734765,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
0,0,1,1,0.875,1,2,1,1.1595456961969886,0.7266949152542374,0,100.17777777777778,5,1,1,8.750239547701803,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
1,1,1,1,0.9166666666666666,1,2,1,1.4520219682262263,0.8147971168017688,0,107.21742424242424,7,0,1,8.864654822837052,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
0,0,1,1,0.4722222222222222,1,2,0,-1.3231790220511994,0.10297301031687547,0,26.302941176470586,2,1,0,6.7971588576401105,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,1.0,1,2,1,1.42044782522307,0.9043040714812086,0,109.07916666666667,6,1,1,8.968867357726134,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
0,0,1,0,0.6527777777777778,1,2,1,1.1877962451998125,0.541992907148121,0,100.15106382978725,5,0,1,8.457039708596394,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0.8333333333333333,1,2,1,0.8354952811645946,0.6276137619749448,0,90.845,4,1,1,8.603682765623805,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
1,0,1,0,1.0,0,1,0,-0.7531826509942192,0.3410556374355196,0,41.138888888888886,3,1,0,7.993957547573565,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0.25,1,0,1,-0.34438058895335305,0.11020403463522478,0,53.172222222222224,3,1,0,6.864952156656828,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0.125,1,2,0,0.9850570111795457,0.09870693625644807,1,95.25,4,0,1,6.754895432337801,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,0.041666666666666664,1,0,1,0.3502505571160864,0.02810657700810612,0,81.36666666666666,5,0,1,5.501666290534067,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
1,0,1,0,0.6527777777777778,1,2,1,0.46989994112804756,0.42031480287398676,0,77.66702127659575,3,0,1,8.202852241207772,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0.4305555555555555,1,0,0,0.47987072312904416,0.28753684598378776,0,80.55483870967741,6,0,1,7.823325751531809,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
0,0,1,1,0.6944444444444444,1,0,0,-1.4827115340671475,0.10718726971260134,0,18.618,1,1,0,6.83722551279161,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0.1388888888888889,1,0,1,0.5014740841312035,0.1021727616064849,0,88.735,3,0,1,6.789365809481915,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
1,0,0,0,0.013888888888888888,1,0,0,-0.5221928679711283,0.005647798452468681,0,49.05,2,0,0,3.9130225057612296,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,1,0.7222222222222222,1,0,1,-1.4744025490663168,0.12558147568165073,0,20.974038461538463,1,0,0,6.995445592109125,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,1,1,1,0.8888888888888888,1,2,1,1.5567151792366918,0.8174051215917466,0,110.921875,7,1,1,8.867850063029406,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
1,0,1,1,0.861111111111111,1,2,1,-1.3464441800535252,0.16403371407516582,0,22.97741935483871,2,1,0,7.262348056716545,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0.041666666666666664,1,0,1,-0.00869759491979612,0.02042649226234341,0,59.13333333333333,4,1,0,5.184028220145909,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1,0,0,0.7777777777777777,1,2,0,1.5201556452330371,0.7069247420781136,0,109.63392857142857,7,0,1,8.722661451050438,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
0,0,0,0,0.6388888888888888,1,0,0,-0.3028356639492,0.3096041359616802,0,58.45326086956521,2,1,0,7.8972407089593375,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0,0,1,1,0.1111111111111111,1,0,0,-0.33607160395252245,0.055528049005158446,0,60.28125,3,0,0,6.18053411808844,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
1,1,0,0,0.41666666666666663,1,0,1,0.3319707901142591,0.2431028924097274,0,70.37666666666668,5,0,1,7.655532680193197,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
0,0,1,1,0.625,1,2,1,-1.2916048790480432,0.1400838246131172,0,27.035555555555554,2,1,0,7.104636987107422,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0.013888888888888888,1,0,1,0.48485611412954227,0.009136652542372881,1,79.35,2,0,1,4.386392092183521,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,0.15277777777777776,0,1,0,-0.47233895796614456,0.06509649042004423,0,51.39545454545455,3,0,0,6.339212261646723,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,0,0.09722222222222221,1,0,1,0.34526516611558833,0.05721490420044216,1,70.98571428571428,2,1,1,6.210399253648137,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,0.5833333333333333,1,0,1,1.2974748472107767,0.49828435887988215,0,103.03571428571429,6,1,1,8.372976340655828,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
0,0,1,0,0.6805555555555555,1,0,1,-1.4827115340671475,0.11207511974944732,0,19.864285714285714,1,1,0,6.881770582010144,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0.125,1,2,1,1.1479131171958254,0.10578827376565955,0,102.08333333333333,5,1,1,6.824101893984884,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
0,0,1,0,0.4861111111111111,1,0,1,-0.08680205392760396,0.25509510869565216,0,63.29857142857142,3,1,0,7.703662095843597,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
0,0,1,1,0.6666666666666666,1,0,0,-1.4660935640654862,0.12170689019896833,0,22.020833333333332,1,1,0,6.964135612418245,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,1,1,0.6388888888888888,1,0,1,-1.4893587220678117,0.10674972365512161,0,20.15434782608696,1,0,0,6.833139485601347,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,1,0,0.40277777777777773,0,1,0,-1.0307027500219619,0.11620877855563745,0,34.80172413793103,1,0,0,6.917953103958583,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
1,0,1,1,0.41666666666666663,1,0,0,0.574593152138513,0.2959423360353722,0,85.67333333333333,3,1,1,7.852127994983248,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
